dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20181029,NULL,NULL,野껋럩湲??ㅻ즲,0.166835541,0.833054462,0.467697608,0.532189733,0.203548358,0.795637305,0.407188809,0.59199508
20181029,NULL,NULL,?袁⑥뵬?브낮猷?0.17453432,0.825149483,0.471112943,0.528570861,0.204232412,0.793462415,0.408986222,0.588710304,
20181029,NULL,NULL,?袁⑥뵬??ㅻ즲,0.173300527,0.826440207,0.461816111,0.53792306,0.210938514,0.78724818,0.416458429,0.581742322
20181029,NULL,NULL,?겸뫗猿??ㅻ즲,0.17566145,0.823898791,0.475354313,0.524204495,0.239265119,0.758895627,0.427152126,0.571001457
20181029,NULL,NULL,NULL,0.169477318,0.830301726,0.484912372,0.51486436,0.197704612,0.801206957,0.388607719,0.610307758
20181029,NULL,NULL,野껋럩湲썽겫怨룸즲,0.165178684,0.834648779,0.453110308,0.546716048,0.20780568,0.791099369,0.415135732,0.583771529
20181029,NULL,NULL,?紐꾩쪒?諛명?癒?뒄??0.3814506658509755,0.611508738,0.606128924,0.386707679,0.212250986,0.77231701,0.404362639,0.58015419,
20181029,NULL,NULL,野껋럡由??0.17183772384235968,0.828160165,0.507702931,0.492294958,0.19998249,0.800002733,0.390743349,0.609241873,
20181029,NULL,NULL,?용쵐竊쒏꽴臾믩열??0.16950166431983413,0.830283048,0.490582061,0.509199234,0.192312341,0.805427141,0.400542691,0.597198499,
20181029,NULL,NULL,?겸뫗猿뚪겫怨룸즲,0.158863687,0.840703284,0.447013021,0.552548398,0.208808105,0.788469731,0.392502802,0.604773184
20181029,NULL,2,NULL,0.139808727,0.859977833,0.423752547,0.576032548,0.17441754,0.824410686,0.358808561,0.640025525
20181029,NULL,NULL,??뽳폒?諛명?癒?뒄??0.18815904148169416,0.809533885,0.504502147,0.493200293,0.206513255,0.78531447,0.432940243,0.558944565,
20181029,NULL,NULL,?紐꾩퓝?용쵐肉??0.1733055980795682,0.826513499,0.501615091,0.498204006,0.18709065,0.811918879,0.372141166,0.626869363,
20181029,50,NULL,NULL,0.181099733,0.818835096,0.53774833,0.462184463,0.198013925,0.801863589,0.445455579,0.554421935
20181029,NULL,NULL,?봔?怨뚰굝????0.167095569,0.83262379,0.461734062,0.537977623,0.199617503,0.799309264,0.380567929,0.618357742,
20181029,NULL,NULL,??뽰뒻?諛명??0.16133000264821878,0.838651839,0.487956397,0.512025444,0.179312009,0.82056562,0.354328438,0.645549981,
20181029,60,NULL,NULL,0.15411171,0.845727011,0.443246465,0.556591783,0.172824865,0.826574003,0.40554365,0.593859002
20181029,NULL,NULL,???袁㏉굝????0.178364035,0.821256604,0.47436413,0.52524835,0.193455028,0.803220464,0.383689243,0.612980129,
20181029,NULL,NULL,?紐꾧텦?용쵐肉??0.17964674533942912,0.819103261,0.471875218,0.526859163,0.233660573,0.762448822,0.424466974,0.571798671,
20181029,20,NULL,NULL,0.202587784,0.797222507,0.491430609,0.508372967,0.265640126,0.733969964,0.39323822,0.606370611
20181029,NULL,NULL,???닌덊굝????0.159019021,0.840768581,0.476197315,0.523589181,0.182137124,0.816699114,0.39090511,0.60792781,
20181029,10,NULL,NULL,0.111553878,0.888194613,0.322819077,0.676922617,0.148833428,0.850405249,0.274546967,0.724696808
20181029,70,NULL,NULL,0.112527121,0.886799235,0.329154331,0.67017968,0.122540883,0.871012471,0.300018947,0.693584712
20181029,NULL,NULL,揶쏅벡???0.16493994914659119,0.834753003,0.451836644,0.547850825,0.210789957,0.786718935,0.404889499,0.592623048,
20181029,0,NULL,NULL,0.058556029,0.937308844,0.118007263,0.877832882,0.127306196,0.847443429,0.226617156,0.748168188
20181029,30,NULL,NULL,0.188370615,0.811557302,0.540567301,0.459359439,0.221730552,0.778149995,0.39828531,0.601593473
20181029,40,NULL,NULL,0.181123759,0.818826899,0.554550081,0.445400577,0.194708728,0.805207628,0.406074087,0.593843324
20181029,NULL,1,NULL,0.197807988,0.801963878,0.543314163,0.456454582,0.219941542,0.779049611,0.417063068,0.581930129
20181105,NULL,NULL,???닌덊굝????0.157699711,0.841198996,0.473715412,0.525179982,0.177136333,0.822587516,0.378461443,0.621262405,
20181105,NULL,NULL,??뽰뒻?諛명??0.16070202484478227,0.839199089,0.484064289,0.515836825,0.177183669,0.822774324,0.344361065,0.655597189,
