,dt,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r
0,20181029,0.166835541,0.833054462,0.467697608,0.532189733,0.203548358,0.795637305,0.407188809
1,20181029,0.825149483,0.471112943,0.528570861,0.204232412,0.793462415,0.408986222,0.588710304
2,20181029,0.173300527,0.826440207,0.461816111,0.53792306,0.210938514,0.78724818,0.416458429
3,20181029,0.17566145,0.823898791,0.475354313,0.524204495,0.239265119,0.758895627,0.427152126
4,20181029,0.169477318,0.830301726,0.484912372,0.51486436,0.197704612,0.801206957,0.388607719
5,20181029,0.165178684,0.834648779,0.453110308,0.546716048,0.20780568,0.791099369,0.415135732
6,20181029,0.611508738,0.606128924,0.386707679,0.212250986,0.77231701,0.404362639,0.58015419
7,20181029,0.828160165,0.507702931,0.492294958,0.19998249,0.800002733,0.390743349,0.609241873
8,20181029,0.830283048,0.490582061,0.509199234,0.192312341,0.805427141,0.400542691,0.597198499
9,20181029,0.158863687,0.840703284,0.447013021,0.552548398,0.208808105,0.788469731,0.392502802
10,20181029,0.139808727,0.859977833,0.423752547,0.576032548,0.17441754,0.824410686,0.358808561
11,20181029,0.809533885,0.504502147,0.493200293,0.206513255,0.78531447,0.432940243,0.558944565
12,20181029,0.826513499,0.501615091,0.498204006,0.18709065,0.811918879,0.372141166,0.626869363
13,20181029,0.181099733,0.818835096,0.53774833,0.462184463,0.198013925,0.801863589,0.445455579
14,20181029,0.83262379,0.461734062,0.537977623,0.199617503,0.799309264,0.380567929,0.618357742
15,20181029,0.838651839,0.487956397,0.512025444,0.179312009,0.82056562,0.354328438,0.645549981
16,20181029,0.15411171,0.845727011,0.443246465,0.556591783,0.172824865,0.826574003,0.40554365
17,20181029,0.821256604,0.47436413,0.52524835,0.193455028,0.803220464,0.383689243,0.612980129
18,20181029,0.819103261,0.471875218,0.526859163,0.233660573,0.762448822,0.424466974,0.571798671
19,20181029,0.202587784,0.797222507,0.491430609,0.508372967,0.265640126,0.733969964,0.39323822
