,date,confirmed
0,20200121,1
1,20200122,0
2,20200123,0
3,20200124,1
4,20200125,0
5,20200126,0
6,20200127,2
7,20200128,0
8,20200129,0
9,20200130,3
10,20200131,4
11,20200201,1
12,20200202,3
13,20200203,0
14,20200204,1
15,20200205,5
16,20200206,3
17,20200207,0
18,20200208,0
19,20200209,3
20,20200210,0
21,20200211,1
22,20200212,0
23,20200213,0
24,20200214,0
25,20200215,0
26,20200216,1
27,20200217,1
28,20200218,9
29,20200219,7
30,20200220,58
31,20200221,100
32,20200222,229
33,20200223,175
34,20200224,235
35,20200225,134
36,20200226,284
37,20200227,505
38,20200228,571
39,20200229,813
40,20200301,586
41,20200302,476
42,20200303,600
43,20200304,516
44,20200305,438
45,20200306,518
46,20200307,483
47,20200308,367
48,20200309,248
49,20200310,131
50,20200311,242
51,20200312,114
52,20200313,110
53,20200314,107
54,20200315,76
55,20200316,74
56,20200317,84
57,20200318,93
58,20200319,152
59,20200320,87
60,20200321,147
61,20200322,98
62,20200323,64
63,20200324,76
64,20200325,100
65,20200326,104
66,20200327,91
67,20200328,146
68,20200329,105
69,20200330,78
70,20200331,125
71,20200401,101
72,20200402,89
73,20200403,86
74,20200404,94
75,20200405,81
76,20200406,47
77,20200407,47
78,20200408,53
79,20200409,39
80,20200410,27
81,20200411,30
82,20200412,32
83,20200413,25
84,20200414,27
85,20200415,27
86,20200416,22
87,20200417,22
88,20200418,18
89,20200419,8
90,20200420,13
91,20200421,9
92,20200422,11
93,20200423,8
94,20200424,6
95,20200425,10
96,20200426,10
97,20200427,10
98,20200428,14
99,20200429,9
100,20200430,4
101,20200501,9
102,20200502,6
103,20200503,13
104,20200504,8
105,20200505,3
106,20200506,2
107,20200507,4
108,20200508,12
109,20200509,18
110,20200510,34
111,20200511,35
112,20200512,27
113,20200513,26
114,20200514,29
115,20200515,27
116,20200516,19
117,20200517,13
118,20200518,15
119,20200519,13
120,20200520,32
121,20200521,12
122,20200522,20
123,20200523,23
124,20200524,25
125,20200525,16
126,20200526,19
127,20200527,40
128,20200528,79
129,20200529,58
130,20200530,39
131,20200531,27
132,20200601,35
133,20200602,38
134,20200603,49
135,20200604,39
136,20200605,39
137,20200606,51
138,20200607,57
139,20200608,38
140,20200609,38
141,20200610,50
142,20200611,45
143,20200612,56
144,20200613,48
145,20200614,33
146,20200615,37
147,20200616,34
148,20200617,43
149,20200618,59
150,20200619,49
151,20200620,67
152,20200621,48
153,20200622,17
154,20200623,46
155,20200624,51
156,20200625,28
157,20200626,39
158,20200627,51
159,20200628,62
160,20200629,42
161,20200630,42
162,20200701,51
163,20200702,54
164,20200703,63
165,20200704,63
166,20200705,61
167,20200706,46
168,20200707,44
169,20200708,62
170,20200709,50
171,20200710,45
172,20200711,35
173,20200712,44
174,20200713,62
175,20200714,33
176,20200715,39
177,20200716,61
178,20200717,60
179,20200718,39
180,20200719,34
181,20200720,26
182,20200721,45
183,20200722,63
184,20200723,59
185,20200724,41
186,20200725,113
187,20200726,58
188,20200727,25
189,20200728,28
190,20200729,48
191,20200730,18
192,20200731,36
193,20200801,31
194,20200802,30
195,20200803,23
196,20200804,34
197,20200805,33
198,20200806,43
199,20200807,20
200,20200808,43
201,20200809,36
202,20200810,28
203,20200811,34
204,20200812,54
205,20200813,56
206,20200814,103
207,20200815,166
208,20200816,279
209,20200817,197
210,20200818,246
211,20200819,297
212,20200820,288
213,20200821,324
214,20200822,332
215,20200823,397
216,20200824,266
217,20200825,280
218,20200826,320
219,20200827,441
220,20200828,371
221,20200829,323
222,20200830,299
223,20200831,248
224,20200901,235
225,20200902,267
226,20200903,195
227,20200904,198
228,20200905,168
229,20200906,167
230,20200907,119
231,20200908,136
232,20200909,156
233,20200910,155
234,20200911,176
235,20200912,136
236,20200913,121
237,20200914,109
238,20200915,106
239,20200916,113
240,20200917,153
241,20200918,126
242,20200919,110
243,20200920,82
244,20200921,70
245,20200922,61
246,20200923,110
247,20200924,125
248,20200925,114
249,20200926,61
250,20200927,95
251,20200928,50
252,20200929,38
253,20200930,113
254,20201001,77
255,20201002,63
256,20201003,75
257,20201004,64
258,20201005,73
259,20201006,75
260,20201007,114
261,20201008,69
262,20201009,54
263,20201010,72
264,20201011,58
265,20201012,97
266,20201013,91
267,20201014,84
268,20201015,110
269,20201016,47
270,20201017,73
271,20201018,91
272,20201019,76
273,20201020,58
274,20201021,91
275,20201022,119
276,20201023,155
277,20201024,77
278,20201025,61
279,20201026,119
280,20201027,88
281,20201028,103
282,20201029,125
283,20201030,114
284,20201031,126
285,20201101,124
286,20201102,97
287,20201103,75
288,20201104,117
289,20201105,125
290,20201106,145
291,20201107,89
292,20201108,143
293,20201109,126
294,20201110,100
295,20201111,145
296,20201112,143
297,20201113,191
298,20201114,205
299,20201115,208
300,20201116,222
301,20201117,230
302,20201118,285
303,20201119,325
304,20201120,348
305,20201121,386
306,20201122,330
307,20201123,271
308,20201124,349
309,20201125,382
310,20201126,581
311,20201127,555
312,20201128,503
313,20201129,450
314,20201130,438
315,20201201,451
316,20201202,511
317,20201203,533
318,20201204,629
319,20201205,583
320,20201206,631
321,20201207,615
